"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USC00221880","COLUMBUS, MS US","2017-04-18",,,,,"0.00","0.0","0.0","86","65","65",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-19",,,,,"0.00","0.0","0.0","89","60","69",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-20",,,,,"0.00","0.0","0.0","91","61","69",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-21",,,,,"0.00","0.0","0.0","87","69","72",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-22",,,,,"0.13","0.0","0.0","88","63","65",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-23",,,,,"0.00","0.0","0.0",,"54","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-24",,,,,"0.00","0.0","0.0","71","53","53",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-25",,,,,"0.00","0.0","0.0","86","46","65",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-26",,,,,"0.00","0.0","0.0","85","56","75",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-27",,,,,"0.67","0.0","0.0","78","57","57",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-28",,,,,"0.00","0.0","0.0","88","57","79",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-29",,,,,"0.00","0.0","0.0","90","76","78",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-30",,,,,"1.10","0.0","0.0","83","69","69",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-01",,,,,"0.00","0.0","0.0","80","54","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-02",,,,,"0.00","0.0","0.0","84","47","58",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-03",,,,,"0.24","0.0","0.0","85","53","64",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-04",,,,,"0.19","0.0","0.0","68","51","51",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-05",,,,,"0.00","0.0","0.0","72","49","49",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-06",,,,,"0.00","0.0","0.0","81","41","57",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-07",,,,,"0.00","0.0","0.0","80","55","55",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-08",,,,,"0.00","0.0","0.0","86","48","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-09",,,,,"0.00","0.0","0.0","90","53","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-10",,,,,"0.00","0.0","0.0","92","58","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-11",,,,,"0.00","0.0","0.0","87","63","67",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-12",,,,,"0.90","0.0","0.0","82","65","65",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-13",,,,,"0.11","0.0","0.0","76","59","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-14",,,,,"0.00","0.0","0.0","80","59","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-15",,,,,"0.00","0.0","0.0","89","54","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-16",,,,,"0.00","0.0","0.0","93","59","74",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-17",,,,,"0.00","0.0","0.0","92","66","77",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-18",,,,,"0.07","0.0","0.0","87","73","77",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-19",,,,,"0.00","0.0","0.0","92","74","74",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-20",,,,,"1.30","0.0","0.0","88","70","71",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-21",,,,,"0.00","0.0","0.0","82","71","71",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-22",,,,,"0.31","0.0","0.0","78","68","70",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-23",,,,,"0.50","0.0","0.0","74","66","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-24",,,,,"0.53","0.0","0.0","70","59","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-25",,,,,"0.00","0.0","0.0","80","52","62",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-26",,,,,"0.00","0.0","0.0","90","62","72",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-27",,,,,"0.00","0.0","0.0","91","61","79",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-28",,,,,"0.27","0.0","0.0","87","73","73",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-29",,,,,"0.17","0.0","0.0","85","68","72",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-30",,,,,"0.33","0.0","0.0","84","68","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-05-31",,,,,"0.00","0.0","0.0","88","66","67",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-01",,,,,"0.00","0.0","0.0","89","65","75",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-02",,,,,"0.35","0.0","0.0","84","73","73",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-03",,,,,"0.25","0.0","0.0",,"68","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-04",,,,,"0.65","0.0","0.0","85","72","72",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-05",,,,,"0.61","0.0","0.0","84","72","74",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-06",,,,,"0.02","0.0","0.0","80","73","74",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-07",,,,,"0.00","0.0","0.0","86","66","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-08",,,,,"0.00","0.0","0.0","83","58","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-09",,,,,"0.00","0.0","0.0","86","61","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-10",,,,,"0.00","0.0","0.0","91","59","73",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-11",,,,,"0.00","0.0","0.0","92","73","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-12",,,,,"0.02","0.0","0.0","93","74","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-13",,,,,"0.00","0.0","0.0","92","73","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-14",,,,,"0.00","0.0","0.0","92","72","72",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-15",,,,,"0.27","0.0","0.0","91","70","70",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-16",,,,,"0.20","0.0","0.0","90","68","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-17",,,,,"0.00","0.0","0.0","92","64","78",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-18",,,,,"0.25","0.0","0.0","86","74","74",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-19",,,,,"0.04","0.0","0.0","86","73","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-20",,,,,"0.00","0.0","0.0","88","75","75",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-21",,,,,"0.87","0.0","0.0","78","73","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-22",,,,,"0.48","0.0","0.0","87","76","79",,,,,,,,
