Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-11-15 15:09:42,false,"Boise Running","5.01","357","00:38:37","126","143","174","188","7:43","6:10","164","226","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","38:36.76","1","77.0","00:38:33","00:52:23","2,656","2,856"
Running,2021-11-15 07:56:11,false,"Boise Running","9.11","751","01:08:23","136","159","175","213","7:31","5:44","607","659","1.22","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","01:08:23.11","1","80.6","01:08:12","01:11:40","2,572","3,151"
Running,2021-11-14 10:53:30,false,"Boise Running","6.25","498","00:44:13","137","156","175","184","7:05","6:29","98","131","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","44:12.50","1","78.8","00:44:11","00:45:37","2,545","2,616"
Running,2021-11-13 08:55:45,false,"Boise Running","15.00","1,177","01:45:42","141","166","176","190","7:03","6:02","184","299","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","01:45:42.11","1","80.6","01:45:38","02:03:56","2,493","2,651"
Running,2021-11-12 09:24:29,false,"Boise Running","10.94","731","01:04:30","141","162","183","201","5:54","4:20","148","161","1.49","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","59.0","0:00","No","05:03.57","10","75.2","01:04:21","01:18:58","2,565","2,663"
Running,2021-11-11 15:52:11,false,"Boise Running","5.00","531","00:36:59","153","169","175","188","7:24","6:33","26","59","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","36:58.67","1","77.0","00:36:56","00:37:51","2,569","2,632"
Running,2021-11-11 10:39:13,false,"Boise Running","8.04","691","00:58:27","141","165","175","210","7:16","5:46","548","587","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","58:26.75","1","78.8","00:58:21","01:05:51","2,677","3,250"
Running,2021-11-10 07:46:41,false,"Boise Running","12.06","1,148","01:29:03","149","168","176","186","7:23","6:40","135","141","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","44.6","0:00","No","01:29:03.33","1","78.8","01:28:55","01:34:56","2,548","2,623"
Running,2021-11-09 15:03:16,false,"Boise Running","9.76","682","01:11:30","132","162","147","215","7:20","3:38","108","177","1.44","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","00:15.16","35","78.8","01:08:55","01:30:49","2,629","2,760"
Running,2021-11-08 15:08:54,false,"Boise Running","5.04","501","00:37:36","147","166","175","192","7:28","5:14","200","207","1.23","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","59.0","0:00","No","37:35.77","1","75.2","00:37:34","00:57:23","2,736","2,889"
Running,2021-11-08 08:56:33,false,"Boise Running","9.09","850","01:05:20","147","173","176","232","7:11","6:04","614","646","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","46.4","0:00","No","01:05:20.24","1","73.4","01:05:16","01:08:00","2,566","3,157"
Running,2021-11-07 11:39:26,false,"Boise Running","6.86","461","00:48:57","129","149","174","186","7:08","6:35","79","115","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","48:57.24","1","80.6","00:48:55","00:50:53","2,567","2,656"
Running,2021-11-06 09:08:15,false,"Boise Running","12.00","838","01:26:15","134","156","176","190","7:11","5:19","233","253","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","01:26:14.54","1","78.8","01:26:07","01:29:14","2,716","2,849"
Running,2021-11-05 14:12:20,false,"Boise Running","9.24","625","01:03:06","135","162","177","223","6:50","3:32","627","676","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","00:30.63","25","77.0","01:02:47","01:18:33","2,722","3,012"
Running,2021-11-05 07:55:31,false,"Boise Running","4.90","302","00:37:56","118","141","174","184","7:44","6:54","36","85","1.19","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","37:55.65","1","75.2","00:37:49","00:42:12","2,550","2,642"
Running,2021-11-04 18:00:56,false,"Boise Running","4.00","298","00:29:40","131","151","174","188","7:25","5:27","36","69","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","29:39.83","1","73.4","00:29:37","00:32:46","2,570","2,637"
Running,2021-11-04 10:50:29,false,"Boise Running","7.61","672","00:54:05","143","169","173","188","7:07","6:15","144","141","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","54:05.02","1","71.6","00:53:53","01:08:42","2,610","2,653"
Running,2021-11-03 08:26:53,false,"Boise Running","12.01","974","01:31:21","136","164","175","244","7:36","5:40","725","804","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","48.2","0:00","No","01:31:21.03","1","78.8","01:31:09","01:34:36","2,535","3,213"
Running,2021-11-02 15:02:18,false,"Boise Running","9.23","692","01:00:55","145","180","162","201","6:36","4:14","236","217","1.48","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","66.2","0:00","No","00:59.63","17","80.6","00:58:13","01:22:14","2,674","2,732"
