,Date,Title,Avg Pace,Best Pace,Distance,Calories,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Total Ascent,Total Descent,Avg Stride Length,Min Elevation,Max Elevation,Total Run Time,Min Temp,Max Temp
37,2017-10-30,Starkville Running,7.183333333333334,6.15,4.01,433.0,145.59728390749606,168.9566547619048,175.0,184.0,10.0,20.0,1.28,243.0,269.0,28.85,34.5,76.0
38,2017-10-30,Starkville Running,6.916666666666667,6.35,5.7,612.0,151.4155957396123,172.85066433239962,178.0,191.0,41.0,24.0,1.31,343.0,401.0,39.38333333333333,34.5,76.0
39,2017-10-29,Starkville Running,7.05,6.183333333333334,12.19,1316.0,169.97261907506484,169.79800764790764,178.0,191.0,323.0,328.0,1.28,289.0,382.0,86.01666666666667,31.5,55.5
40,2017-10-27,Starkville Running,8.833333333333334,3.8166666666666664,5.77,538.0,135.2925866075879,157.0935704524234,173.0,211.0,23.0,27.0,1.01,326.0,344.0,50.983333333333334,45.5,79.5
41,2017-10-26,Starkville Running,6.85,6.05,4.04,427.0,145.7721252540189,168.5092072649573,173.0,187.0,21.0,61.0,1.36,342.0,401.0,27.65,41.0,80.0
42,2017-10-26,Starkville Running,7.266666666666667,6.766666666666667,5.7,615.0,149.61671472588023,170.67678557227086,176.0,190.0,106.0,96.0,1.25,338.0,400.0,41.46666666666667,41.0,80.0
43,2017-10-25,Starkville Running,7.016666666666667,6.266666666666667,7.09,765.0,155.00024948948436,169.52461586695466,174.0,185.0,162.0,171.0,1.32,259.0,347.0,49.666666666666664,38.5,65.5
44,2017-10-24,Starkville Running,7.65,6.683333333333334,2.07,222.0,138.5465280482857,161.54595121545125,175.0,184.0,128.0,116.0,1.2,296.0,348.0,15.85,45.0,68.5
45,2017-10-23,Starkville Running,6.866666666666667,5.616666666666667,8.37,906.0,159.3210956428342,175.19876890511443,176.0,187.0,200.0,204.0,1.33,259.0,356.0,57.5,50.5,69.0
46,2017-10-15,Starkville Running,6.716666666666667,5.783333333333333,12.96,1400.0,174.8750303883242,172.68503463203467,178.0,188.0,306.0,288.0,1.35,289.0,384.0,86.95,57.5,89.0
47,2017-10-12,Starkville Running,7.6,6.783333333333333,4.45,484.0,144.45830769269745,166.1747577737077,171.0,180.0,20.0,19.0,1.23,243.0,262.0,33.85,55.0,77.0
48,2017-10-11,Starkville Running,7.366666666666666,6.0,7.87,847.0,153.8229069249823,172.65384982676053,174.0,188.0,193.0,192.0,1.26,297.0,400.0,57.9,60.0,83.0
49,2017-10-09,Starkville Running,7.483333333333333,6.9,3.89,422.0,142.3784193614941,168.15323901098907,170.0,180.0,16.0,10.0,1.26,243.0,266.0,29.1,73.5,84.5
50,2017-10-09,Starkville Running,7.35,6.283333333333333,5.78,627.0,147.91434965738765,172.04944877344883,174.0,188.0,82.0,97.0,1.25,305.0,401.0,42.53333333333333,73.5,84.5
51,2017-10-08,Starkville Running,6.9,5.633333333333333,14.59,1575.0,176.7759064689314,173.19640998217466,175.0,190.0,323.0,311.0,1.33,289.0,400.0,100.71666666666667,73.5,86.5
52,2017-10-05,Starkville Running,7.35,6.15,6.03,654.0,149.62556381002895,170.23972663447665,179.0,188.0,129.0,145.0,1.23,298.0,401.0,44.28333333333333,57.0,87.5
53,2017-10-04,Starkville Running,7.583333333333333,6.55,7.92,861.0,153.1358586175899,175.13861043858097,176.0,192.0,150.0,165.0,1.2,259.0,344.0,59.983333333333334,62.5,86.5
54,2017-10-02,Starkville Running,7.65,7.183333333333334,3.76,411.0,142.04751388235638,167.5366675824176,167.0,174.0,16.0,10.0,1.26,243.0,262.0,28.733333333333334,68.5,82.0
55,2017-10-02,Starkville Running,7.116666666666666,5.833333333333333,6.97,750.0,152.35215165800278,168.64573275007152,174.0,186.0,126.0,130.0,1.3,306.0,402.0,49.55,68.5,82.0
56,2017-10-01,Mobile Running,7.033333333333333,6.233333333333333,12.53,1347.0,169.31600492472478,170.12628775995248,172.0,182.0,330.0,329.0,1.33,87.0,208.0,88.01666666666667,63.5,84.0
57,2017-09-30,Lucedale Running,7.583333333333333,7.1,6.6,722.0,150.02065013132872,168.27569699744697,171.0,178.0,113.0,118.0,1.24,69.0,124.0,50.03333333333333,63.0,84.0
58,2017-09-29,Starkville Running,5.55,4.333333333333333,2.91,308.0,144.20388544152354,160.10691715800357,180.0,210.0,97.0,87.0,1.61,299.0,344.0,16.15,67.0,87.0
59,2017-09-29,Starkville Running,7.866666666666667,6.683333333333334,1.86,203.0,136.98151814011374,163.35166666666666,173.0,186.0,41.0,23.0,1.18,340.0,394.0,14.6,67.0,87.0
60,2017-09-28,Starkville Running,7.416666666666667,6.766666666666667,7.7,837.0,153.4436204688575,171.8823950107432,173.0,189.0,176.0,166.0,1.25,299.0,386.0,57.03333333333333,67.0,94.0
61,2017-09-27,Mississippi State Running,7.566666666666666,5.683333333333334,5.77,632.0,147.96279801042934,172.29278210678214,177.0,187.0,76.0,80.0,1.2,312.0,384.0,43.68333333333333,65.0,95.0
62,2017-09-26,Starkville Running,7.933333333333334,5.566666666666666,1.93,209.0,136.90662157894067,165.70583516483515,172.0,184.0,43.0,47.0,1.18,298.0,344.0,15.3,68.0,94.0
63,2017-09-25,Starkville Running,7.083333333333333,6.516666666666667,6.96,750.0,152.53143028076573,168.5042539140927,173.0,191.0,168.0,177.0,1.31,259.0,347.0,49.31666666666667,70.0,89.0
64,2017-09-21,Starkville Running,7.233333333333333,6.616666666666667,3.91,421.0,143.24713612221106,169.3699056776557,171.0,176.0,33.0,23.0,1.3,259.0,283.0,28.25,71.0,95.0
65,2017-09-21,Starkville Running,7.266666666666667,5.633333333333333,6.03,648.0,148.82162054617197,169.8511552059052,174.0,186.0,135.0,100.0,1.27,259.0,347.0,43.8,71.0,95.0
66,2017-09-19,Starkville Running,7.433333333333334,6.65,8.15,886.0,154.22500268070993,174.79327710524765,173.0,240.0,136.0,166.0,1.25,299.0,385.0,60.583333333333336,72.0,96.0
67,2017-09-18,Starkville Running,7.75,7.15,2.88,314.0,139.55962666981048,154.69918770777156,171.0,182.0,7.0,9.0,1.22,243.0,259.0,22.333333333333332,69.0,94.0
68,2017-09-17,Starkville Running,7.55,6.416666666666667,10.77,1178.0,160.871485317428,168.58844291674913,174.0,239.0,319.0,298.0,1.22,298.0,385.0,81.31666666666666,69.0,87.0
69,2017-09-15,Starkville Running,7.5,6.933333333333334,2.88,313.0,140.09066314407806,155.20611078469466,171.0,179.0,9.0,6.0,1.25,246.0,256.0,21.583333333333332,68.0,88.0
70,2017-09-14,Starkville Running,7.45,5.2,4.72,519.0,145.88302494628533,168.21236510755037,178.0,236.0,44.0,99.0,1.22,305.0,402.0,35.21666666666667,62.0,88.0
71,2017-09-13,Starkville Running,7.933333333333334,6.6,2.06,222.0,137.49610128882452,158.36006106964933,168.0,180.0,98.0,107.0,1.19,297.0,347.0,16.3,58.0,74.0
72,2017-09-11,Starkville Running,7.316666666666666,6.75,3.82,410.0,143.17189873919034,167.82283424908425,166.0,173.0,5.0,7.0,1.33,243.0,269.0,27.916666666666668,58.0,76.0
73,2017-09-10,Starkville Running,7.3,6.683333333333334,4.97,540.0,146.4883135727103,167.45072383770912,169.0,176.0,31.0,41.0,1.3,259.0,285.0,36.333333333333336,64.0,82.0
74,2017-09-09,Ackerman Running,8.45,7.783333333333333,2.0,212.0,136.3787685706466,153.64692780291605,169.0,178.0,7.0,9.0,1.13,459.0,480.0,16.95,56.0,85.0
75,2017-09-09,Running,7.633333333333333,7.033333333333333,1.84,202.0,137.98351432055236,163.27383766233766,171.0,190.0,150.0,153.0,1.24,289.0,375.0,14.016666666666667,56.0,85.0
76,2017-09-08,Starkville Running,7.466666666666667,6.933333333333334,3.75,407.0,142.88470841960918,166.6802584915085,169.0,178.0,5.0,7.0,1.28,243.0,264.0,28.033333333333335,58.0,81.0
77,2017-09-08,Starkville Running,7.516666666666667,6.6,5.71,620.0,147.91593090644074,170.34761890560418,171.0,178.0,107.0,118.0,1.25,259.0,338.0,42.86666666666667,58.0,81.0
78,2017-09-07,Starkville Running,7.966666666666667,5.616666666666667,2.35,253.0,138.4989266597632,160.79287478077475,172.0,181.0,133.0,131.0,1.17,282.0,360.0,18.7,51.0,81.0
79,2017-09-07,Starkville Running,7.733333333333333,6.85,2.92,318.0,140.54995956151964,158.60296304028216,173.0,186.0,149.0,140.0,1.2,282.0,372.0,22.6,51.0,81.0
80,2017-09-06,Starkville Running,7.333333333333333,6.216666666666667,9.9,1073.0,160.1928225173488,170.16539493753152,172.0,194.0,226.0,226.0,1.28,289.0,385.0,72.56666666666666,57.0,81.0
81,2017-09-05,Starkville Running,7.366666666666666,6.983333333333333,1.65,178.0,137.03304836407824,149.4467277167277,173.0,180.0,59.0,32.0,1.26,298.0,344.0,12.166666666666666,67.0,94.0
82,2017-09-04,Starkville Running,7.7,6.9,3.62,393.0,141.708642380422,166.0928964646465,168.0,176.0,10.0,10.0,1.24,243.0,264.0,27.866666666666667,63.0,91.0
83,2017-09-04,Starkville Running,6.916666666666667,6.433333333333334,7.01,758.0,154.33700549068897,170.22907216942411,174.0,210.0,107.0,39.0,1.34,259.0,347.0,48.416666666666664,63.0,91.0
84,2017-09-03,Starkville Running,7.233333333333333,6.683333333333334,7.01,757.0,152.22738433373252,169.6757486359729,170.0,177.0,22.0,45.0,1.31,246.0,283.0,50.65,66.0,89.0
85,2017-09-01,Starkville Running,7.45,7.066666666666666,3.87,422.0,142.80836500623872,169.3299056776557,169.0,175.0,33.0,23.0,1.28,260.0,284.0,28.85,70.0,87.0
86,2017-08-30,Starkville Running,7.383333333333334,6.5,6.68,726.0,150.38628691280334,169.0375898453398,174.0,186.0,122.0,141.0,1.25,305.0,400.0,49.35,72.0,83.0
87,2017-08-28,Starkville Running,7.466666666666667,7.066666666666666,2.93,321.0,140.32963751639753,156.960417863237,166.0,174.0,150.0,7.0,1.3,243.0,256.0,21.866666666666667,70.0,82.0
88,2017-08-28,Starkville Running,7.1,5.583333333333333,5.94,642.0,149.5752515501444,170.33646861471865,169.0,181.0,101.0,111.0,1.34,333.0,399.0,42.2,70.0,82.0
89,2017-08-27,Starkville Running,7.266666666666667,6.716666666666667,3.92,423.0,142.9746530553899,169.0199056776557,166.0,174.0,13.0,21.0,1.33,259.0,287.0,28.483333333333334,74.0,88.0
90,2017-08-25,Starkville Running,7.483333333333333,6.916666666666667,2.9,319.0,140.84792519673724,157.68277745136132,167.0,174.0,3.0,3.0,1.29,246.0,256.0,21.716666666666665,62.0,92.0
91,2017-08-25,Starkville Running,7.466666666666667,5.95,4.94,539.0,146.18506953201296,167.58615262558789,171.0,186.0,81.0,104.0,1.26,305.0,400.0,36.86666666666667,62.0,92.0
92,2017-08-24,Mississippi State Running,6.616666666666667,5.4,14.43,1546.0,179.0717682416519,174.53279653679655,175.0,189.0,249.0,254.0,1.39,289.0,401.0,95.56666666666666,67.0,90.0
93,2017-08-23,Starkville Running,7.433333333333334,6.916666666666667,3.85,420.0,142.57748949053615,168.8499056776557,168.0,183.0,3.0,7.0,1.29,243.0,256.0,28.583333333333332,76.0,92.0
94,2017-08-21,Starkville Running,7.583333333333333,6.15,3.7,407.0,142.06226236142595,166.6602584915085,165.0,244.0,13.0,13.0,1.29,246.0,263.0,28.05,75.0,96.0
95,2017-08-21,Starkville Running,7.016666666666667,6.666666666666667,7.01,753.0,152.68653833746833,168.52961105694985,169.0,176.0,148.0,149.0,1.36,259.0,347.0,49.166666666666664,75.0,96.0
96,2017-08-18,Starkville Running,7.166666666666667,6.6,8.01,859.0,154.547838724891,175.10760717060714,168.0,174.0,134.0,142.0,1.34,259.0,348.0,57.31666666666667,75.0,95.0
97,2017-08-17,Starkville Running,7.6,7.0,3.49,382.0,141.38495137926103,163.12072600077124,167.0,173.0,13.0,13.0,1.27,243.0,256.0,26.483333333333334,74.0,96.0
98,2017-08-16,Starkville Running,7.0,6.35,7.9,847.0,155.1933526122811,173.44459466820751,171.0,184.0,237.0,255.0,1.35,259.0,348.0,55.28333333333333,76.0,95.0
99,2017-08-15,Starkville Running,6.516666666666667,4.833333333333333,5.37,577.0,149.92081887330946,167.50845839128192,173.0,199.0,102.0,173.0,1.42,259.0,393.0,35.0,78.0,95.0
100,2017-08-14,Starkville Running,6.783333333333333,6.3,7.94,849.0,156.44023545024982,173.67553847144916,168.0,176.0,190.0,196.0,1.42,297.0,400.0,53.833333333333336,77.0,90.0
101,2017-08-11,Starkville Running,7.083333333333333,6.7,5.6,601.0,148.1324608508688,170.33101473200003,168.0,176.0,69.0,55.0,1.35,259.0,288.0,39.63333333333333,76.0,92.0
